pathway	parents
the role of gtse1 in g2 m progression after g2 checkpoint	Cell Cycle
signaling by mst1	Signal Transduction
ret signaling	Developmental Biology
transcriptional regulation by ventx	Gene expression (Transcription)
tbc rabgaps	Vesicle-mediated transport
aurka activation by tpx2	Cell Cycle
interleukin 20 family signaling	Immune System
golgi to er retrograde transport	Vesicle-mediated transport
cargo recognition for clathrin mediated endocytosis	Vesicle-mediated transport
clathrin mediated endocytosis	Vesicle-mediated transport
ptk6 promotes hif1a stabilization	Signal Transduction
downregulation of erbb2 signaling	Signal Transduction
transcriptional regulation by the ap 2 tfap2 family of transcription factors	Gene expression (Transcription)
met activates ptpn11	Signal Transduction
reelin signalling pathway	Developmental Biology
vldl assembly	Transport of small molecules
vldlr internalisation and degradation	Transport of small molecules
synthesis of active ubiquitin roles of e1 and e2 enzymes	Metabolism of proteins
e3 ubiquitin ligases ubiquitinate target proteins	Metabolism of proteins
negative regulation of activity of tfap2 ap 2 family transcription factors	Gene expression (Transcription)
activation of the tfap2 ap 2 family of transcription factors	Gene expression (Transcription)
tfap2 ap 2 family regulates transcription of growth factors and their receptors	Gene expression (Transcription)
tfap2 ap 2 family regulates transcription of cell cycle factors	Gene expression (Transcription)
rrna processing in the mitochondrion	Metabolism of RNA
tfap2a acts as a transcriptional repressor during retinoic acid induced cell differentiation	Gene expression (Transcription)
rab geranylgeranylation	Metabolism of proteins
met activates ptk2 signaling	Signal Transduction
creb3 factors activate genes	Cellular responses to stimuli
inlb mediated entry of listeria monocytogenes into host cell	Disease
met interacts with tns proteins	Signal Transduction
met activates rap1 and rac1	Signal Transduction
met receptor recycling	Signal Transduction
met promotes cell motility	Signal Transduction
rab gefs exchange gtp for gdp on rabs	Vesicle-mediated transport
listeria monocytogenes entry into host cells	Disease
inla mediated entry of listeria monocytogenes into host cells	Disease
protein methylation	Metabolism of proteins
runx1 and foxp3 control the development of regulatory t lymphocytes tregs	Gene expression (Transcription)
transcriptional regulation by runx3	Gene expression (Transcription)
transcriptional regulation by runx2	Gene expression (Transcription)
transcriptional regulation by runx1	Gene expression (Transcription)
gaba synthesis release reuptake and degradation	Neuronal System
runx1 regulates estrogen receptor mediated transcription	Gene expression (Transcription)
regulation of runx1 expression and activity	Gene expression (Transcription)
receptor mediated mitophagy	Autophagy
digestion	Digestion and absorption
runx1 regulates expression of components of tight junctions	Gene expression (Transcription)
runx1 regulates genes involved in megakaryocyte differentiation and platelet function	Gene expression (Transcription)
aryl hydrocarbon receptor signalling	Metabolism
esr mediated signaling	Signal Transduction
runx1 regulates transcription of genes involved in differentiation of hscs	Gene expression (Transcription)
runx1 regulates transcription of genes involved in differentiation of keratinocytes	Gene expression (Transcription)
runx1 interacts with co factors whose precise effect on runx1 targets is not known	Gene expression (Transcription)
runx1 regulates transcription of genes involved in bcr signaling	Gene expression (Transcription)
runx1 regulates transcription of genes involved in differentiation of myeloid cells	Gene expression (Transcription)
runx1 regulates transcription of genes involved in interleukin signaling	Gene expression (Transcription)
runx1 regulates transcription of genes involved in wnt signaling	Gene expression (Transcription)
regulation of runx2 expression and activity	Gene expression (Transcription)
runx2 regulates osteoblast differentiation	Gene expression (Transcription)
runx2 regulates chondrocyte maturation	Gene expression (Transcription)
runx2 regulates bone development	Gene expression (Transcription)
runx2 regulates genes involved in cell migration	Gene expression (Transcription)
runx3 regulates cdkn1a transcription	Gene expression (Transcription)
runx3 regulates notch signaling	Gene expression (Transcription)
regulation of runx3 expression and activity	Gene expression (Transcription)
regulation of pten mrna translation	Signal Transduction
regulation of pten gene transcription	Signal Transduction
collagen chain trimerization	Extracellular matrix organization
regulation of pten localization	Signal Transduction
regulation of pten stability and activity	Signal Transduction
mitochondrial calcium ion transport	Transport of small molecules
runx3 regulates immune response and cell migration	Gene expression (Transcription)
cristae formation	Organelle biogenesis and maintenance
processing of smdt1	Transport of small molecules
gene and protein expression by jak stat signaling after interleukin 12 stimulation	Immune System
runx3 regulates wnt signaling	Gene expression (Transcription)
neddylation	Metabolism of proteins
runx3 regulates yap1 mediated transcription	Gene expression (Transcription)
runx3 regulates p14 arf	Gene expression (Transcription)
runx3 regulates bcl2l11 bim transcription	Gene expression (Transcription)
transcriptional regulation by e2f6	Gene expression (Transcription)
metabolism of rna	Metabolism of RNA
cellular responses to stimuli	Cellular responses to stimuli
carboxyterminal post translational modifications of tubulin	Metabolism of proteins
nucleotide catabolism	Metabolism
nucleotide biosynthesis	Metabolism
nucleotide salvage	Metabolism
metabolism of steroids	Metabolism
intestinal absorption	Digestion and absorption
tyrosine catabolism	Metabolism
phenylalanine and tyrosine metabolism	Metabolism
aspartate and asparagine metabolism	Metabolism
digestion and absorption	Digestion and absorption
chylomicron assembly	Transport of small molecules
assembly of active lpl and lipc lipase complexes	Transport of small molecules
hdl assembly	Transport of small molecules
plasma lipoprotein assembly	Transport of small molecules
plasma lipoprotein remodeling	Transport of small molecules
chylomicron remodeling	Transport of small molecules
hdl clearance	Transport of small molecules
chylomicron clearance	Transport of small molecules
ldl clearance	Transport of small molecules
ldl remodeling	Transport of small molecules
plasma lipoprotein clearance	Transport of small molecules
vldl clearance	Transport of small molecules
hdl remodeling	Transport of small molecules
phenylalanine metabolism	Metabolism
glutamate and glutamine metabolism	Metabolism
lipid particle organization	Metabolism
g beta gamma signalling through cdc42	Signal Transduction
fatty acid metabolism	Metabolism
metabolism of cofactors	Metabolism
triglyceride metabolism	Metabolism
rhoa gtpase cycle	Signal Transduction
glycogen metabolism	Metabolism
interleukin 15 signaling	Immune System
oas antiviral response	Immune System
interleukin 35 signalling	Immune System
interleukin 9 signaling	Immune System
transcriptional regulation by mecp2	Gene expression (Transcription)
loss of function of mecp2 in rett syndrome	Disease
signaling by ntrk2 trkb	Signal Transduction
signaling by erythropoietin	Signal Transduction
intracellular signaling by second messengers	Signal Transduction
signaling by nuclear receptors	Signal Transduction
signaling by receptor tyrosine kinases	Signal Transduction
signaling by tgfb family members	Signal Transduction
rab regulation of trafficking	Vesicle-mediated transport
interleukin 37 signaling	Immune System
extra nuclear estrogen signaling	Signal Transduction
er quality control compartment erqc	Metabolism of proteins
calnexin calreticulin cycle	Metabolism of proteins
regulation of expression of slits and robos	Developmental Biology
robo receptors bind akap5	Developmental Biology
interleukin 18 signaling	Immune System
signaling by notch3	Signal Transduction
rho gtpase cycle	Signal Transduction
rhob gtpase cycle	Signal Transduction
rhoc gtpase cycle	Signal Transduction
cdc42 gtpase cycle	Signal Transduction
rac1 gtpase cycle	Signal Transduction
rac2 gtpase cycle	Signal Transduction
rhod gtpase cycle	Signal Transduction
rhoq gtpase cycle	Signal Transduction
rhoh gtpase cycle	Signal Transduction
rhog gtpase cycle	Signal Transduction
rhoj gtpase cycle	Signal Transduction
rhobtb2 gtpase cycle	Signal Transduction
rhou gtpase cycle	Signal Transduction
rhobtb1 gtpase cycle	Signal Transduction
rac3 gtpase cycle	Signal Transduction
rhov gtpase cycle	Signal Transduction
rhot1 gtpase cycle	Signal Transduction
notch3 activation and transmission of signal to the nucleus	Signal Transduction
notch3 intracellular domain regulates transcription	Signal Transduction
signaling by notch4	Signal Transduction
notch4 intracellular domain regulates transcription	Signal Transduction
notch4 activation and transmission of signal to the nucleus	Signal Transduction
tlr3 mediated ticam1 dependent programmed cell death	Immune System
ticam1 dependent activation of irf3 irf7	Immune System
ticam1 traf6 dependent induction of tak1 complex	Immune System
interleukin 36 pathway	Immune System
noncanonical activation of notch3	Signal Transduction
estrogen dependent gene expression	Signal Transduction
biosynthesis of specialized proresolving mediators spms	Metabolism
biosynthesis of epa derived spms	Metabolism
biosynthesis of maresins	Metabolism
interleukin 2 signaling	Immune System
interleukin 12 signaling	Immune System
interleukin 1 signaling	Immune System
interleukin 23 signaling	Immune System
interleukin 27 signaling	Immune System
interleukin 21 signaling	Immune System
loss of mecp2 binding ability to the ncor smrt complex	Disease
regulation of mecp2 expression and activity	Gene expression (Transcription)
mecp2 regulates neuronal receptors and channels	Gene expression (Transcription)
mecp2 regulates transcription of neuronal ligands	Gene expression (Transcription)
mecp2 regulates transcription factors	Gene expression (Transcription)
nr1h2 and nr1h3 mediated signaling	Signal Transduction
activated ntrk2 signals through ras	Signal Transduction
erythropoietin activates phosphoinositide 3 kinase pi3k	Signal Transduction
erythropoietin activates phospholipase c gamma plcg	Signal Transduction
erythropoietin activates stat5	Signal Transduction
erythropoietin activates ras	Signal Transduction
biosynthesis of maresin like spms	Metabolism
activated ntrk2 signals through pi3k	Signal Transduction
activated ntrk2 signals through frs2 and frs3	Signal Transduction
nr1h2 nr1h3 regulate gene expression linked to lipogenesis	Signal Transduction
nr1h3 nr1h2 regulate gene expression linked to cholesterol transport and efflux	Signal Transduction
nr1h2 nr1h3 regulate gene expression to limit cholesterol uptake	Signal Transduction
nr1h2 nr1h3 regulate gene expression linked to triglyceride lipolysis in adipose	Signal Transduction
ngf stimulated transcription	Signal Transduction
activated ntrk2 signals through fyn	Signal Transduction
ntrk2 activates rac1	Signal Transduction
activated ntrk2 signals through cdk5	Signal Transduction
peroxisomal protein import	Protein localization
tysnd1 cleaves peroxisomal proteins	Protein localization
blood group systems biosynthesis	Metabolism
signaling by ntrk3 trkc	Signal Transduction
activated ntrk3 signals through ras	Signal Transduction
rhof gtpase cycle	Signal Transduction
interferon alpha beta signaling	Immune System
meiotic recombination	Reproduction
meiotic recombination	Cell Cycle
interleukin receptor shc signaling	Immune System
regulation of signaling by cbl	Immune System
regulation of ifna ifnb signaling	Immune System
interferon signaling	Immune System
o linked glycosylation of mucins	Metabolism of proteins
endosomal sorting complex required for transport escrt	Vesicle-mediated transport
iron uptake and transport	Transport of small molecules
transferrin endocytosis and recycling	Transport of small molecules
traf3 dependent irf activation pathway	Immune System
nonsense mediated decay nmd	Metabolism of RNA
traf6 mediated irf7 activation	Immune System
traf6 mediated nf kb activation	Immune System
nf kb activation through fadd rip 1 pathway mediated by caspase 8 and 10	Immune System
negative regulators of ddx58 ifih1 signaling	Immune System
ion transport by p type atpases	Transport of small molecules
activation of irf3 irf7 mediated by tbk1 ikk epsilon	Immune System
irak1 recruits ikk complex	Immune System
ikk complex recruitment mediated by rip1	Immune System
irak2 mediated activation of tak1 complex	Immune System
traf6 mediated induction of tak1 complex within tlr4 complex	Immune System
molybdenum cofactor biosynthesis	Metabolism
transport to the golgi and subsequent modification	Metabolism of proteins
activated ntrk3 signals through pi3k	Signal Transduction
class i peroxisomal membrane protein import	Protein localization
negative regulation of notch4 signaling	Signal Transduction
diseases of base excision repair	Disease
flt3 signaling	Immune System
protein localization	Protein localization
insertion of tail anchored proteins into the endoplasmic reticulum membrane	Protein localization
hcmv infection	Disease
hcmv early events	Disease
assembly and cell surface presentation of nmda receptors	Neuronal System
hcmv late events	Disease
autophagy	Autophagy
lipophagy	Autophagy
chaperone mediated autophagy	Autophagy
foxo mediated transcription	Gene expression (Transcription)
regulation of localization of foxo transcription factors	Gene expression (Transcription)
foxo mediated transcription of cell death genes	Gene expression (Transcription)
foxo mediated transcription of oxidative stress metabolic and neuronal genes	Gene expression (Transcription)
late endosomal microautophagy	Autophagy
postmitotic nuclear pore complex npc reformation	Cell Cycle
transcriptional regulation of granulopoiesis	Developmental Biology
negative regulation of nmda receptor mediated neuronal transmission	Neuronal System
regulation of foxo transcriptional activity by acetylation	Gene expression (Transcription)
foxo mediated transcription of cell cycle genes	Gene expression (Transcription)
activation of rac1 downstream of nmdars	Neuronal System
activation of ampk downstream of nmdars	Neuronal System
egr2 and sox10 mediated initiation of schwann cell myelination	Developmental Biology
long term potentiation	Neuronal System
nr1h2 nr1h3 regulate gene expression to control bile acid homeostasis	Signal Transduction
nr1h2 nr1h3 regulate gene expression linked to gluconeogenesis	Signal Transduction
response of eif2ak4 gcn2 to amino acid deficiency	Cellular responses to stimuli
constitutive signaling by overexpressed erbb2	Disease
gper1 signaling	Signal Transduction
regulation of glycolysis by fructose 2 6 bisphosphate metabolism	Metabolism
estrogen stimulated signaling through prkcz	Signal Transduction
estrogen dependent nuclear events downstream of esr membrane signaling	Signal Transduction
transcriptional regulation by npas4	Gene expression (Transcription)
suppression of apoptosis	Disease
infection with mycobacterium tuberculosis	Disease
prevention of phagosomal lysosomal fusion	Disease
modulation by mtb of host immune system	Disease
suppression of phagosomal maturation	Disease
response of mtb to phagocytosis	Disease
amino acids regulate mtorc1	Cellular responses to stimuli
stat5 activation	Immune System
alpha protein kinase 1 signaling pathway	Immune System
diseases of programmed cell death	Disease
aggrephagy	Autophagy
n glycan trimming and elongation in the cis golgi	Metabolism of proteins
ras processing	Signal Transduction
response of eif2ak1 hri to heme deficiency	Cellular responses to stimuli
defects of contact activation system cas and kallikrein kinin system kks	Disease
signaling by mapk mutants	Disease
leishmania infection	Disease
sensory processing of sound	Sensory Perception
aberrant regulation of mitotic g1 s transition in cancer due to rb1 defects	Disease
signaling by mras complex mutants	Disease
adora2b mediated anti inflammatory cytokines production	Disease
purinergic signaling in leishmaniasis infection	Disease
defective factor viii causes hemophilia a	Disease
sensory processing of sound by outer hair cells of the cochlea	Sensory Perception
cd163 mediating an anti inflammatory response	Disease
anti inflammatory response favouring leishmania parasite infection	Disease
selective autophagy	Autophagy
fcgr3a mediated il10 synthesis	Disease
parasite infection	Disease
killing mechanisms	Disease
ltc4 cysltr mediated il4 production	Disease
pexophagy	Autophagy
signaling by erbb2 ecd mutants	Disease
acetylcholine inhibits contraction of outer hair cells	Sensory Perception
defective factor ix causes hemophilia b	Disease
sealing of the nuclear envelope ne by escrt iii	Cell Cycle
signaling by kit in disease	Disease
inhibition of dna recombination at telomere	Cell Cycle
signaling by pdgfr in disease	Disease
defective f9 activation	Disease
signaling by pdgfra transmembrane juxtamembrane and kinase domain mutants	Disease
signaling by membrane tethered fusions of pdgfra or pdgfrb	Disease
signaling by csf3 g csf	Immune System
nervous system development	Developmental Biology
diseases of mitotic cell cycle	Disease
diseases of dna repair	Disease
sars cov 1 infection	Disease
potential therapeutics for sars	Disease
sars cov infections	Disease
signaling by csf1 m csf in myeloid cells	Immune System
flt3 signaling in disease	Disease
maturation of protein 3a	Disease
aberrant regulation of mitotic exit in cancer due to rb1 defects	Disease
transcriptional regulation of testis differentiation	Developmental Biology
sars cov 1 host interactions	Disease
sars cov 1 activates modulates innate immune responses	Disease
defective ripk1 mediated regulated necrosis	Disease
sars cov 2 infection	Disease
attachment and entry	Disease
translation of replicase and assembly of the replication transcription complex	Disease
rnd3 gtpase cycle	Signal Transduction
rnd2 gtpase cycle	Signal Transduction
rnd1 gtpase cycle	Signal Transduction
signaling by alk in cancer	Disease
alk mutants bind tkis	Disease
stat3 nuclear events downstream of alk signaling	Signal Transduction
stat5 activation downstream of flt3 itd mutants	Disease
signaling by flt3 fusion proteins	Disease
signaling by flt3 itd and tkd mutants	Disease
inactivation of csf3 g csf signaling	Immune System
sars cov 2 activates modulates innate and adaptive immune responses	Disease
sars cov 2 targets pdz proteins in cell cell junction	Disease
sars cov 2 host interactions	Disease
rhobtb3 atpase cycle	Signal Transduction
negative regulation of flt3	Immune System
flt3 signaling through src family kinases	Immune System
flt3 signaling by cbl mutants	Disease
rhobtb gtpase cycle	Signal Transduction
cytoprotection by hmox1	Cellular responses to stimuli
regulation of hmox1 expression and activity	Cellular responses to stimuli
heme signaling	Cellular responses to stimuli
regulation of bach1 activity	Cellular responses to stimuli
sensory perception	Sensory Perception
cellular response to starvation	Cellular responses to stimuli
cellular response to chemical stress	Cellular responses to stimuli
miro gtpase cycle	Signal Transduction
signaling by rho gtpases miro gtpases and rhobtb3	Signal Transduction
sensory perception of taste	Sensory Perception
nuclear events stimulated by alk signaling in cancer	Disease
sensory perception of salty taste	Sensory Perception
induction of cell cell fusion	Disease
defective intrinsic pathway for apoptosis	Disease
sars cov 1 modulates host translation machinery	Disease
sars cov 1 targets host intracellular signalling and regulatory pathways	Disease
drug adme	Drug ADME
azathioprine adme	Drug ADME
aspirin adme	Drug ADME
traf6 mediated irf7 activation in tlr7 8 or 9 signaling	Immune System
paracetamol adme	Drug ADME
drug mediated inhibition of cdk4 cdk6 activity	Cell Cycle
germ layer formation at gastrulation	Developmental Biology
sars cov 2 modulates autophagy	Disease
sars cov 2 modulates host translation machinery	Disease
atorvastatin adme	Drug ADME
ribavirin adme	Drug ADME
keap1 nfe2l2 pathway	Cellular responses to stimuli
n glycan antennae elongation in the medial trans golgi	Metabolism of proteins
n glycan antennae elongation	Metabolism of proteins
sars cov 2 targets host intracellular signalling and regulatory pathways	Disease
reactions specific to the complex n glycan synthesis pathway	Metabolism of proteins
prednisone adme	Drug ADME
regulation of nf kappa b signaling	Immune System
uptake of dietary cobalamins into enterocytes	Metabolism
transport of rcbl within the body	Metabolism
epithelial mesenchymal transition emt during gastrulation	Developmental Biology
formation of lateral plate mesoderm	Developmental Biology
gastrulation	Developmental Biology
nuclear events mediated by nfe2l2	Cellular responses to stimuli
cobalamin cbl metabolism	Metabolism
regulation of npas4 gene expression	Gene expression (Transcription)
regulation of npas4 gene transcription	Gene expression (Transcription)
regulation of npas4 mrna translation	Gene expression (Transcription)
npas4 regulates expression of target genes	Gene expression (Transcription)
termination of o glycan biosynthesis	Metabolism of proteins
amyloid fiber formation	Metabolism of proteins
early sars cov 2 infection events	Disease
late sars cov 2 infection events	Disease
serine biosynthesis	Metabolism
gaba receptor activation	Neuronal System
gaba b receptor activation	Neuronal System
formation of paraxial mesoderm	Developmental Biology
ciprofloxacin adme	Drug ADME
formation of axial mesoderm	Developmental Biology
nfe2l2 regulating anti oxidant detoxification enzymes	Cellular responses to stimuli
nfe2l2 regulates pentose phosphate pathway genes	Cellular responses to stimuli
growth hormone receptor signaling	Immune System
antigen processing ubiquitination proteasome degradation	Immune System
class i mhc mediated antigen processing presentation	Immune System
antigen presentation folding assembly and peptide loading of class i mhc	Immune System
kinesins	Hemostasis
factors involved in megakaryocyte development and platelet production	Hemostasis
antigen activates b cell receptor bcr leading to generation of second messengers	Immune System
signaling by the b cell receptor bcr	Immune System
ion channel transport	Transport of small molecules
