pathway	colors
regulation of pten gene transcription	#1B2631
collagen chain trimerization	#145A32
regulation of pten localization	#1B2631
regulation of pten stability and activity	#1B2631
mitochondrial calcium ion transport	#2C3E50
runx3 regulates immune response and cell migration	#2ECC71
cristae formation	#BDC3C7
processing of smdt1	#2C3E50
gene and protein expression by jak stat signaling after interleukin 12 stimulation	#7D6608
runx3 regulates wnt signaling	#2ECC71
neddylation	#F7DC6F
runx3 regulates yap1 mediated transcription	#2ECC71
runx3 regulates p14 arf	#2ECC71
runx3 regulates bcl2l11 bim transcription	#2ECC71
transcriptional regulation by e2f6	#2ECC71
metabolism of rna	#784212
cellular responses to stimuli	#512E5F
carboxyterminal post translational modifications of tubulin	#F7DC6F
nucleotide catabolism	#F39C12
nucleotide biosynthesis	#F39C12
nucleotide salvage	#F39C12
metabolism of steroids	#F39C12
intestinal absorption	#3498DB
tyrosine catabolism	#F39C12
phenylalanine and tyrosine metabolism	#F39C12
aspartate and asparagine metabolism	#F39C12
digestion and absorption	#3498DB
chylomicron assembly	#2C3E50
assembly of active lpl and lipc lipase complexes	#2C3E50
hdl assembly	#2C3E50
plasma lipoprotein assembly	#2C3E50
plasma lipoprotein remodeling	#2C3E50
chylomicron remodeling	#2C3E50
hdl clearance	#2C3E50
chylomicron clearance	#2C3E50
ldl clearance	#2C3E50
ldl remodeling	#2C3E50
plasma lipoprotein clearance	#2C3E50
vldl clearance	#2C3E50
hdl remodeling	#2C3E50
phenylalanine metabolism	#F39C12
glutamate and glutamine metabolism	#F39C12
lipid particle organization	#F39C12
g beta gamma signalling through cdc42	#1B2631
fatty acid metabolism	#F39C12
metabolism of cofactors	#F39C12
triglyceride metabolism	#F39C12
rhoa gtpase cycle	#1B2631
glycogen metabolism	#F39C12
interleukin 15 signaling	#7D6608
oas antiviral response	#7D6608
interleukin 35 signalling	#7D6608
interleukin 9 signaling	#7D6608
transcriptional regulation by mecp2	#2ECC71
loss of function of mecp2 in rett syndrome	#7FB3D5
signaling by ntrk2 trkb	#1B2631
signaling by erythropoietin	#1B2631
intracellular signaling by second messengers	#1B2631
signaling by nuclear receptors	#1B2631
signaling by receptor tyrosine kinases	#1B2631
signaling by tgfb family members	#1B2631
rab regulation of trafficking	#85929E
interleukin 37 signaling	#7D6608
extra nuclear estrogen signaling	#1B2631
er quality control compartment erqc	#F7DC6F
calnexin calreticulin cycle	#F7DC6F
regulation of expression of slits and robos	#154360
robo receptors bind akap5	#154360
interleukin 18 signaling	#7D6608
signaling by notch3	#1B2631
rho gtpase cycle	#1B2631
rhob gtpase cycle	#1B2631
rhoc gtpase cycle	#1B2631
cdc42 gtpase cycle	#1B2631
rac1 gtpase cycle	#1B2631
rac2 gtpase cycle	#1B2631
rhod gtpase cycle	#1B2631
rhoq gtpase cycle	#1B2631
rhoh gtpase cycle	#1B2631
rhog gtpase cycle	#1B2631
rhoj gtpase cycle	#1B2631
rhobtb2 gtpase cycle	#1B2631
rhou gtpase cycle	#1B2631
rhobtb1 gtpase cycle	#1B2631
rac3 gtpase cycle	#1B2631
rhov gtpase cycle	#1B2631
rhot1 gtpase cycle	#1B2631
notch3 activation and transmission of signal to the nucleus	#1B2631
notch3 intracellular domain regulates transcription	#1B2631
signaling by notch4	#1B2631
notch4 intracellular domain regulates transcription	#1B2631
notch4 activation and transmission of signal to the nucleus	#1B2631
tlr3 mediated ticam1 dependent programmed cell death	#7D6608
ticam1 dependent activation of irf3 irf7	#7D6608
ticam1 traf6 dependent induction of tak1 complex	#7D6608
interleukin 36 pathway	#7D6608
noncanonical activation of notch3	#1B2631
estrogen dependent gene expression	#1B2631
biosynthesis of specialized proresolving mediators spms	#F39C12
biosynthesis of epa derived spms	#F39C12
biosynthesis of maresins	#F39C12
interleukin 2 signaling	#7D6608
interleukin 12 signaling	#7D6608
interleukin 1 signaling	#7D6608
interleukin 23 signaling	#7D6608
interleukin 27 signaling	#7D6608
interleukin 21 signaling	#7D6608
loss of mecp2 binding ability to the ncor smrt complex	#7FB3D5
regulation of mecp2 expression and activity	#2ECC71
mecp2 regulates neuronal receptors and channels	#2ECC71
mecp2 regulates transcription of neuronal ligands	#2ECC71
mecp2 regulates transcription factors	#2ECC71
nr1h2 and nr1h3 mediated signaling	#1B2631
activated ntrk2 signals through ras	#1B2631
erythropoietin activates phosphoinositide 3 kinase pi3k	#1B2631
erythropoietin activates phospholipase c gamma plcg	#1B2631
erythropoietin activates stat5	#1B2631
erythropoietin activates ras	#1B2631
biosynthesis of maresin like spms	#F39C12
activated ntrk2 signals through pi3k	#1B2631
activated ntrk2 signals through frs2 and frs3	#1B2631
nr1h2 nr1h3 regulate gene expression linked to lipogenesis	#1B2631
nr1h3 nr1h2 regulate gene expression linked to cholesterol transport and efflux	#1B2631
nr1h2 nr1h3 regulate gene expression to limit cholesterol uptake	#1B2631
nr1h2 nr1h3 regulate gene expression linked to triglyceride lipolysis in adipose	#1B2631
ngf stimulated transcription	#1B2631
activated ntrk2 signals through fyn	#1B2631
ntrk2 activates rac1	#1B2631
activated ntrk2 signals through cdk5	#1B2631
peroxisomal protein import	#4D5656
tysnd1 cleaves peroxisomal proteins	#4D5656
blood group systems biosynthesis	#F39C12
signaling by ntrk3 trkc	#1B2631
activated ntrk3 signals through ras	#1B2631
rhof gtpase cycle	#1B2631
interferon alpha beta signaling	#7D6608
meiotic recombination	#7F8C8D
meiotic recombination	#E74C3C
interleukin receptor shc signaling	#7D6608
regulation of signaling by cbl	#7D6608
regulation of ifna ifnb signaling	#7D6608
interferon signaling	#7D6608
o linked glycosylation of mucins	#F7DC6F
endosomal sorting complex required for transport escrt	#85929E
iron uptake and transport	#2C3E50
transferrin endocytosis and recycling	#2C3E50
traf3 dependent irf activation pathway	#7D6608
nonsense mediated decay nmd	#784212
traf6 mediated irf7 activation	#7D6608
traf6 mediated nf kb activation	#7D6608
nf kb activation through fadd rip 1 pathway mediated by caspase 8 and 10	#7D6608
negative regulators of ddx58 ifih1 signaling	#7D6608
ion transport by p type atpases	#2C3E50
activation of irf3 irf7 mediated by tbk1 ikk epsilon	#7D6608
irak1 recruits ikk complex	#7D6608
ikk complex recruitment mediated by rip1	#7D6608
irak2 mediated activation of tak1 complex	#7D6608
traf6 mediated induction of tak1 complex within tlr4 complex	#7D6608
molybdenum cofactor biosynthesis	#F39C12
transport to the golgi and subsequent modification	#F7DC6F
activated ntrk3 signals through pi3k	#1B2631
class i peroxisomal membrane protein import	#4D5656
negative regulation of notch4 signaling	#1B2631
diseases of base excision repair	#7FB3D5
flt3 signaling	#7D6608
protein localization	#4D5656
insertion of tail anchored proteins into the endoplasmic reticulum membrane	#4D5656
hcmv infection	#7FB3D5
hcmv early events	#7FB3D5
assembly and cell surface presentation of nmda receptors	#7B7D7D
hcmv late events	#7FB3D5
autophagy	#641E16
lipophagy	#641E16
chaperone mediated autophagy	#641E16
foxo mediated transcription	#2ECC71
regulation of localization of foxo transcription factors	#2ECC71
foxo mediated transcription of cell death genes	#2ECC71
foxo mediated transcription of oxidative stress metabolic and neuronal genes	#2ECC71
late endosomal microautophagy	#641E16
postmitotic nuclear pore complex npc reformation	#E74C3C
transcriptional regulation of granulopoiesis	#154360
negative regulation of nmda receptor mediated neuronal transmission	#7B7D7D
regulation of foxo transcriptional activity by acetylation	#2ECC71
foxo mediated transcription of cell cycle genes	#2ECC71
activation of rac1 downstream of nmdars	#7B7D7D
activation of ampk downstream of nmdars	#7B7D7D
egr2 and sox10 mediated initiation of schwann cell myelination	#154360
long term potentiation	#7B7D7D
nr1h2 nr1h3 regulate gene expression to control bile acid homeostasis	#1B2631
nr1h2 nr1h3 regulate gene expression linked to gluconeogenesis	#1B2631
response of eif2ak4 gcn2 to amino acid deficiency	#512E5F
constitutive signaling by overexpressed erbb2	#7FB3D5
gper1 signaling	#1B2631
regulation of glycolysis by fructose 2 6 bisphosphate metabolism	#F39C12
estrogen stimulated signaling through prkcz	#1B2631
estrogen dependent nuclear events downstream of esr membrane signaling	#1B2631
transcriptional regulation by npas4	#2ECC71
suppression of apoptosis	#7FB3D5
infection with mycobacterium tuberculosis	#7FB3D5
prevention of phagosomal lysosomal fusion	#7FB3D5
modulation by mtb of host immune system	#7FB3D5
suppression of phagosomal maturation	#7FB3D5
response of mtb to phagocytosis	#7FB3D5
amino acids regulate mtorc1	#512E5F
stat5 activation	#7D6608
alpha protein kinase 1 signaling pathway	#7D6608
diseases of programmed cell death	#7FB3D5
aggrephagy	#641E16
n glycan trimming and elongation in the cis golgi	#F7DC6F
ras processing	#1B2631
response of eif2ak1 hri to heme deficiency	#512E5F
defects of contact activation system cas and kallikrein kinin system kks	#7FB3D5
signaling by mapk mutants	#7FB3D5
leishmania infection	#7FB3D5
sensory processing of sound	#BFC9CA
aberrant regulation of mitotic g1 s transition in cancer due to rb1 defects	#7FB3D5
signaling by mras complex mutants	#7FB3D5
adora2b mediated anti inflammatory cytokines production	#7FB3D5
purinergic signaling in leishmaniasis infection	#7FB3D5
defective factor viii causes hemophilia a	#7FB3D5
sensory processing of sound by outer hair cells of the cochlea	#BFC9CA
cd163 mediating an anti inflammatory response	#7FB3D5
anti inflammatory response favouring leishmania parasite infection	#7FB3D5
selective autophagy	#641E16
fcgr3a mediated il10 synthesis	#7FB3D5
parasite infection	#7FB3D5
killing mechanisms	#7FB3D5
ltc4 cysltr mediated il4 production	#7FB3D5
pexophagy	#641E16
signaling by erbb2 ecd mutants	#7FB3D5
acetylcholine inhibits contraction of outer hair cells	#BFC9CA
defective factor ix causes hemophilia b	#7FB3D5
sealing of the nuclear envelope ne by escrt iii	#E74C3C
signaling by kit in disease	#7FB3D5
inhibition of dna recombination at telomere	#E74C3C
signaling by pdgfr in disease	#7FB3D5
defective f9 activation	#7FB3D5
signaling by pdgfra transmembrane juxtamembrane and kinase domain mutants	#7FB3D5
signaling by membrane tethered fusions of pdgfra or pdgfrb	#7FB3D5
signaling by csf3 g csf	#7D6608
nervous system development	#154360
diseases of mitotic cell cycle	#7FB3D5
diseases of dna repair	#7FB3D5
sars cov 1 infection	#7FB3D5
potential therapeutics for sars	#7FB3D5
sars cov infections	#7FB3D5
signaling by csf1 m csf in myeloid cells	#7D6608
flt3 signaling in disease	#7FB3D5
maturation of protein 3a	#7FB3D5
aberrant regulation of mitotic exit in cancer due to rb1 defects	#7FB3D5
transcriptional regulation of testis differentiation	#154360
sars cov 1 host interactions	#7FB3D5
sars cov 1 activates modulates innate immune responses	#7FB3D5
defective ripk1 mediated regulated necrosis	#7FB3D5
sars cov 2 infection	#7FB3D5
attachment and entry	#7FB3D5
translation of replicase and assembly of the replication transcription complex	#7FB3D5
rnd3 gtpase cycle	#1B2631
rnd2 gtpase cycle	#1B2631
rnd1 gtpase cycle	#1B2631
signaling by alk in cancer	#7FB3D5
alk mutants bind tkis	#7FB3D5
stat3 nuclear events downstream of alk signaling	#1B2631
stat5 activation downstream of flt3 itd mutants	#7FB3D5
signaling by flt3 fusion proteins	#7FB3D5
signaling by flt3 itd and tkd mutants	#7FB3D5
inactivation of csf3 g csf signaling	#7D6608
sars cov 2 activates modulates innate and adaptive immune responses	#7FB3D5
sars cov 2 targets pdz proteins in cell cell junction	#7FB3D5
sars cov 2 host interactions	#7FB3D5
rhobtb3 atpase cycle	#1B2631
negative regulation of flt3	#7D6608
flt3 signaling through src family kinases	#7D6608
flt3 signaling by cbl mutants	#7FB3D5
rhobtb gtpase cycle	#1B2631
cytoprotection by hmox1	#512E5F
regulation of hmox1 expression and activity	#512E5F
heme signaling	#512E5F
regulation of bach1 activity	#512E5F
sensory perception	#BFC9CA
cellular response to starvation	#512E5F
cellular response to chemical stress	#512E5F
miro gtpase cycle	#1B2631
signaling by rho gtpases miro gtpases and rhobtb3	#1B2631
sensory perception of taste	#BFC9CA
nuclear events stimulated by alk signaling in cancer	#7FB3D5
sensory perception of salty taste	#BFC9CA
induction of cell cell fusion	#7FB3D5
defective intrinsic pathway for apoptosis	#7FB3D5
sars cov 1 modulates host translation machinery	#7FB3D5
sars cov 1 targets host intracellular signalling and regulatory pathways	#7FB3D5
drug adme	#76D7C4
azathioprine adme	#76D7C4
aspirin adme	#76D7C4
traf6 mediated irf7 activation in tlr7 8 or 9 signaling	#7D6608
paracetamol adme	#76D7C4
drug mediated inhibition of cdk4 cdk6 activity	#E74C3C
germ layer formation at gastrulation	#154360
sars cov 2 modulates autophagy	#7FB3D5
sars cov 2 modulates host translation machinery	#7FB3D5
atorvastatin adme	#76D7C4
ribavirin adme	#76D7C4
keap1 nfe2l2 pathway	#512E5F
n glycan antennae elongation in the medial trans golgi	#F7DC6F
n glycan antennae elongation	#F7DC6F
sars cov 2 targets host intracellular signalling and regulatory pathways	#7FB3D5
reactions specific to the complex n glycan synthesis pathway	#F7DC6F
prednisone adme	#76D7C4
regulation of nf kappa b signaling	#7D6608
uptake of dietary cobalamins into enterocytes	#F39C12
transport of rcbl within the body	#F39C12
epithelial mesenchymal transition emt during gastrulation	#154360
formation of lateral plate mesoderm	#154360
gastrulation	#154360
nuclear events mediated by nfe2l2	#512E5F
cobalamin cbl metabolism	#F39C12
regulation of npas4 gene expression	#2ECC71
regulation of npas4 gene transcription	#2ECC71
regulation of npas4 mrna translation	#2ECC71
npas4 regulates expression of target genes	#2ECC71
termination of o glycan biosynthesis	#F7DC6F
amyloid fiber formation	#F7DC6F
early sars cov 2 infection events	#7FB3D5
late sars cov 2 infection events	#7FB3D5
serine biosynthesis	#F39C12
gaba receptor activation	#7B7D7D
gaba b receptor activation	#7B7D7D
formation of paraxial mesoderm	#154360
ciprofloxacin adme	#76D7C4
formation of axial mesoderm	#154360
nfe2l2 regulating anti oxidant detoxification enzymes	#512E5F
nfe2l2 regulates pentose phosphate pathway genes	#512E5F
growth hormone receptor signaling	#7D6608
antigen processing ubiquitination proteasome degradation	#7D6608
class i mhc mediated antigen processing presentation	#7D6608
antigen presentation folding assembly and peptide loading of class i mhc	#7D6608
kinesins	#7DCEA0
factors involved in megakaryocyte development and platelet production	#7DCEA0
antigen activates b cell receptor bcr leading to generation of second messengers	#7D6608
signaling by the b cell receptor bcr	#7D6608
ion channel transport	#2C3E50
